epoch,train_total_loss,train_phase_loss,train_farfield_loss,val_total_loss,val_phase_loss,val_farfield_loss,val_rmse_rad,val_rmse_deg,val_mae_rad,val_mae_deg
1,0.5074224844991162,0.5074185757330676,0.00039053898400304496,0.499986211458842,0.4999827614017561,0.0003449621684910133,1.7799378633499146,101.98292736548356,1.5291093587875366,87.61151267248138
2,0.5006351464287528,0.500631505550619,0.00036368806724171234,0.5011600859804091,0.5011565782665427,0.00035087040091371713,1.8083823919296265,103.6126788033403,1.5660719871520996,89.72931527748139
3,0.50023675364489,0.5002329452743743,0.0003810281723519194,0.49865709332858815,0.4986529708687776,0.00041239103492580695,1.776201605796814,101.76885557651701,1.525660514831543,87.41390846960375
4,0.4977799032986497,0.497776344335279,0.00035628294715314436,0.4958571653350506,0.49585381033373815,0.0003354817787124441,1.693560242652893,97.03385425516235,1.4312489032745361,82.0045215903587
5,0.4890820843547416,0.48907930341512795,0.0002781982718499939,0.47793709394199396,0.47793466748754965,0.0002429708188857725,1.5951364040374756,91.3945836990222,1.318037748336792,75.51800021862432
6,0.44813449755727247,0.44813268993819894,0.00018071316087660093,0.4157144962962157,0.41571314214101807,0.00013505619911787411,1.311156988143921,75.12376169973119,1.052870273590088,60.32502305149634
7,0.4020971875616958,0.40209577453203044,0.00014099222498161553,0.3889424306115294,0.3889412490371006,0.00011800489653003846,1.264530062675476,72.45223565871825,1.0078541040420532,57.74578652654861
8,0.3787601102330831,0.37875882273945727,0.00012849161292292314,0.37571658593377255,0.375715459094328,0.00011283311475672473,1.2363663911819458,70.83857614654606,0.9804430603981018,56.175249413701295
9,0.3735842601547028,0.3735829926402875,0.00012710336651054716,0.37115737094598655,0.3711562302767062,0.00011403721631116544,1.2160764932632446,69.67605062905321,0.967048168182373,55.4077786227074
10,0.36718267585312186,0.36718141066961446,0.00012650055277184713,0.36811526109969694,0.3681141903587416,0.00010704117748365902,1.206267237663269,69.11402168300954,0.9607255458831787,55.045519049508265
11,0.3641442941220779,0.36414305058271523,0.00012443308136751095,0.36290714826459197,0.3629060525909748,0.00010947122387329323,1.2103861570358276,69.35001837921182,0.9560914039611816,54.78000227571319
12,0.36162539550711986,0.3616241509687967,0.00012476615365152377,0.3604782186692057,0.36047712786524905,0.00010847352606623306,1.2071388959884644,69.16396402622067,0.9566158652305603,54.81005169296666
