epoch,train_total_loss,train_phase_loss,train_farfield_loss,val_total_loss,val_phase_loss,val_farfield_loss,val_rmse_rad,val_rmse_deg,val_mae_rad,val_mae_deg
1,0.5079381415963838,0.5076014980590543,0.00033664232797598123,0.5003978867156833,0.5000248181274514,0.0003730729728285832,1.7801120281219482,101.99290627186095,1.5312646627426147,87.73500249267522
2,0.5009816865015296,0.500586908622827,0.0003947780432450122,0.5007669532221127,0.5003192911740222,0.00044765163881071155,1.785993218421936,102.32987365456353,1.5422637462615967,88.36520355682478
3,0.5002382397651672,0.4998243088162811,0.00041392875601818483,0.49865006582409727,0.49830688253726835,0.00034318168668892064,1.7427208423614502,99.85054913679474,1.4924733638763428,85.51242478580721
4,0.4989809315630844,0.4986511455567855,0.0003297897467100941,0.4951603611310323,0.4948672628870197,0.0002930971099142886,1.6848589181900024,96.53530508726479,1.4340029954910278,82.16231945075351
5,0.4889866759657194,0.4887077853333351,0.00027888914052847063,0.4775899633083468,0.47737032428286436,0.00021963065689478337,1.568565011024475,89.87215502359386,1.3090258836746216,75.00165840793886
6,0.45121058222301846,0.45102486430599703,0.00018572179083881495,0.42555876475533627,0.4254039124725691,0.0001548528705504449,1.3847299814224243,79.3391837007338,1.1122814416885376,63.729032239479785
7,0.40937287730877625,0.4092249389134306,0.00014794405811373925,0.3940643029275283,0.3939367199645323,0.0001275918336723645,1.2744793891906738,73.02229007703669,1.0216960906982422,58.538873942024644
8,0.38128302100650424,0.38115516821099393,0.00012784987541244693,0.3770057597970651,0.37689002627640766,0.00011573336348721296,1.2322261333465576,70.60135684648235,0.9838022589683533,56.36771731432309
9,0.3717649958653157,0.3716393980567016,0.00012560071330647602,0.37210801360653895,0.37199268426770477,0.0001153281343540822,1.2062914371490479,69.11540821141105,0.9641014933586121,55.23894659170844
10,0.3653058701054344,0.36517958334704353,0.0001262873982686768,0.3658055209256465,0.36569534875209037,0.00011017140853439391,1.2069275379180908,69.15185410082223,0.9594345092773438,54.97154810079702
11,0.36117128653233277,0.361045818921574,0.00012546780277902062,0.36027417210192464,0.3601669641881207,0.00010721113871755627,1.2050272226333618,69.04297405526306,0.9565916657447815,54.80866516456514
12,0.35855543430291076,0.35842998783681645,0.00012544705020328827,0.36288175376412135,0.3627713234985576,0.00011042529822470243,1.1922473907470703,68.31074362529185,0.9483366012573242,54.335684809825516
