Model,Focal_Energy_%,Defocus_Energy_%,Energy_Std,Top_Concentration,Mean_Radius_px,Interpretation
Cycle 41 (Simple Stack),52.6,47.4,0.53,79.1,24.0,Fixed balanced contribution
Cycle 42 (Dual-Branch),48.4,51.6,31.4,64.8,34.9,Dynamic adaptive allocation across samples
