epoch,train_loss,val_loss,val_rmse_rad,val_rmse_deg,val_mae_rad,val_mae_deg
1,1.8586686456669643,1.9545871845257827,1.780019760131836,101.98761970544335,1.5406622886657715,88.27344679551483
2,1.5221919926851155,1.9556790855195787,1.8084511756896973,103.6166198224914,1.5493816137313843,88.77302732197708
3,1.3472456898769187,1.8459703111960217,1.7281429767608643,99.01529896357222,1.4729986190795898,84.39660410185891
4,1.2442177547422868,1.5167682583815132,1.529382348060608,87.62715380568072,1.2680457830429077,72.65367159772026
5,1.1382121020855185,1.282162055470585,1.3839138746261597,79.2924242256759,1.113033413887024,63.772117072764225
6,1.0811676612779415,1.2176171619128557,1.3351765871047974,76.49998334578622,1.0717124938964844,61.40460275170855
7,1.0433953634187496,1.0872912617290722,1.249726414680481,71.60404910720773,0.9813455939292908,56.226960775907465
8,0.9965929925108755,1.0843247451813391,1.2408579587936401,71.0959240140938,0.9796897768974304,56.13208944833598
9,0.9658568111877868,1.0829546716478136,1.2451783418655396,71.3434637299934,0.981173038482666,56.21707407708387
10,0.9495819700496823,1.0645922504219354,1.2269704341888428,70.30022746635483,0.962602972984314,55.153087698746795
11,0.9240496032064853,1.080419600399491,1.238854169845581,70.98111536433505,0.9826148152351379,56.29968180000059
12,0.919776175608182,1.0681679092980678,1.2285748720169067,70.39215498239402,0.9770104885101318,55.978577531645364
13,0.9276011253202427,1.1149919243419872,1.2747199535369873,73.03607339878177,0.9959689378738403,57.06481666629834
14,0.961319219799681,1.100511657646279,1.25802743434906,72.0796624998724,0.9961256384849548,57.07379494996233
15,0.939766965431874,1.082973257388944,1.2530105113983154,71.7922139886524,0.9815779328346252,56.24027281459982
16,0.8868556851781281,1.077283986253676,1.2488884925842285,71.55603970753171,0.9802519083023071,56.164297205367184
17,0.910937840712137,1.0830389518363803,1.2468528747558594,71.43940739726456,0.9880084991455078,56.6087171240924
18,0.8746701778646288,1.0500530620026434,1.2196651697158813,69.88166664382727,0.9565620422363281,54.8069678625564
19,0.8287339843185254,1.0748543014713363,1.2508916854858398,71.6708142063446,0.9741590619087219,55.81520282179324
20,0.7950817016915902,1.0215748996516458,1.2058796882629395,69.09181673801783,0.9431538581848145,54.038735505470044
21,0.7858160058213346,1.0283939024202184,1.2185207605361938,69.81609682779515,0.9457428455352783,54.18707355386438
22,0.7982262659339265,1.33800215970457,1.4178341627120972,81.235913572868,1.1492270231246948,65.84585812742847
23,1.0681676052136129,1.2467842896779378,1.3540524244308472,77.58148915934439,1.0895802974700928,62.428352485645085
24,0.9916923079410744,1.1222667623968685,1.2667922973632812,72.58185215859758,1.014116644859314,58.104603684406065
25,0.9307771694726784,1.113756898961036,1.265039086341858,72.4814005664742,1.007305383682251,57.71434716579905
26,0.8732766648910565,1.1011603299309225,1.2559411525726318,71.960127359208,1.000072956085205,57.29995958885437
27,0.8372726024196134,1.0691207507077385,1.2362366914749146,70.83114490072909,0.9772143363952637,55.99025715512609
28,0.7968046575285203,1.0367864650838516,1.2092182636260986,69.2831030159132,0.957817792892456,54.878917075273314
29,0.7776622435900086,1.0646327231444566,1.2326951026916504,70.62822681067718,0.9687858819961548,55.507342290238675
30,0.7221657267495907,1.0303269651980183,1.216867446899414,69.72136893419624,0.9537402987480164,54.64529386980761
31,0.7134453867400825,1.0270608476563996,1.2133009433746338,69.5170233346078,0.9503934383392334,54.453532893764915
32,0.6860166035550933,1.0571214342428967,1.2416045665740967,71.13870148886559,0.9684224128723145,55.48651704345931
33,0.695139231295559,1.0449274797844732,1.2301267385482788,70.48107038500925,0.961948573589325,55.115593375298005
34,0.6848682967644164,1.0501619737132701,1.2323143482208252,70.60641118646815,0.9629988670349121,55.175770756980405
35,0.7689818693272894,1.218824887587354,1.3464581966400146,77.14637195826872,1.075011134147644,61.59360091623198
36,0.9080925613808233,1.0991581171945808,1.2646530866622925,72.4592844139417,0.9916444420814514,56.817041308872376
37,0.8241165113848681,1.0234691387687633,1.2105937004089355,69.3619097385568,0.9463670253753662,54.22283642435857
38,0.7535851964071476,1.0171972096355912,1.2120448350906372,69.44505363132338,0.9450297951698303,54.14621877734395
39,0.7109681424481908,0.9862984870773515,1.1834821701049805,67.80853347599916,0.9229738712310791,52.882507422391946
40,0.6693609227015319,0.9913366881071353,1.1922816038131714,68.31270388958364,0.9251073598861694,53.00474731796766
41,0.625026910664649,1.0250402439653483,1.2242822647094727,70.14620670057103,0.9465519785881042,54.23343346285584
42,0.60898279277972,1.022135251098209,1.2124677896499634,69.46928714249857,0.947754442691803,54.30232958101376
43,0.6212963651678416,0.98897623041876,1.1862043142318726,67.96450084569639,0.9253464341163635,53.01844526234812
44,0.5775378456328835,1.0547843076824364,1.2333118915557861,70.66356620944282,0.9652114510536194,55.302542483070425
45,0.5530684468799463,0.9856603792290283,1.1854718923568726,67.92253616343584,0.9206156134605408,52.747389205136166
46,0.5644423999932892,1.0542033715964922,1.2350932359695435,70.76562972621032,0.9660490155220032,55.35053139217894
47,0.5304771798283028,0.9968767528440438,1.1981185674667358,68.64713727210415,0.9269715547561646,53.11155781620832
48,0.5218689934501435,1.0007345224517623,1.2082078456878662,69.22521033250817,0.9305639863014221,53.31738898194124
49,0.5219743661374353,0.9985084296051973,1.1857033967971802,67.93580039080399,0.9263820052146912,53.07777911566802
50,0.5759504926937252,0.9762974954118916,1.1753137111663818,67.34051525369154,0.9154259562492371,52.450043749808835
