state,samples,strehl_mean,strehl_std,strehl_min,strehl_max,phase_rmse_mean_rad,phase_rmse_std_rad,peak_intensity_mean,relative_gain_vs_before_percent
before,256,0.3906873040213067,0.11282620242389887,0.19818485562944085,0.8419985558875283,1.7749086800031364,0.33274832490476913,4993049.380859375,0.0
baseline_compensated,256,0.6471722954763046,0.19132088873932998,0.20283356212531792,0.9683273334122056,0.9059072231175378,0.32743364662212454,8270970.6611328125,65.64968679939754
physics_compensated,256,0.6535644743676297,0.1946051945717228,0.22284214104227737,0.9571414084697478,0.8942764452658594,0.326980148586982,8352663.78125,67.28582363454191
ideal,256,1.0,0.0,1.0,1.0,0.0,0.0,12780168.0,155.9591749481226
