model_name,parameter_count,epochs,batch_size,learning_rate,train_seconds,train_samples,val_samples,test_samples,test_rmse_rad,test_rmse_deg,test_mae_rad,test_mae_deg,test_loss,best_val_rmse_rad,final_val_rmse_rad,history_path,summary_path,model_path,channel_1_rmse_rad,channel_2_rmse_rad,channel_3_rmse_rad,channel_4_rmse_rad,channel_5_rmse_rad,channel_6_rmse_rad,is_best_by_test_rmse,rmse_gap_to_best_rad
simple_cnn,3301772,8,64,0.001,22.786017299993546,716,153,155,1.4820904731750488,84.91752896947744,1.2307734489440918,70.51812416125657,0.4566988898861793,1.5077054500579834,1.5077054500579834,D:\CBC_AI\result\metrics\cycle21_seven_beam_architecture\simple_cnn_history.csv,D:\CBC_AI\result\metrics\cycle21_seven_beam_architecture\simple_cnn_summary.csv,D:\CBC_AI\models\cycle21_simple_cnn_seven_beam.pth,1.422848105430603,1.5517799854278564,1.5967167615890503,1.3925045728683472,1.4087270498275757,1.5079625844955444,False,0.4951779246330261
wide_cnn,13203212,8,64,0.001,219.1858249999932,716,153,155,1.811052680015564,103.76567504074859,1.5693409442901611,89.91661272490148,0.5005503919816786,1.7406615018844604,1.7406615018844604,D:\CBC_AI\result\metrics\cycle21_seven_beam_architecture\wide_cnn_history.csv,D:\CBC_AI\result\metrics\cycle21_seven_beam_architecture\wide_cnn_summary.csv,D:\CBC_AI\models\cycle21_wide_cnn_seven_beam.pth,1.87282395362854,1.8986692428588867,1.77576744556427,1.7970644235610962,1.8415743112564087,1.6711885929107666,False,0.8241401314735413
residual_cnn,1008492,8,64,0.001,860.2141408000025,716,153,155,0.9869125485420227,56.54592377995789,0.7891137003898621,45.21288458829004,0.28853711755045,0.978222131729126,0.978222131729126,D:\CBC_AI\result\metrics\cycle21_seven_beam_architecture\residual_cnn_history.csv,D:\CBC_AI\result\metrics\cycle21_seven_beam_architecture\residual_cnn_summary.csv,D:\CBC_AI\models\cycle21_residual_cnn_seven_beam.pth,1.1304956674575806,1.0036193132400513,0.8914212584495544,1.0120426416397095,0.9442382454872131,0.9210091829299927,True,0.0
