model,noise_sigma,samples,main_lobe_ratio_mean,main_lobe_ratio_std,strehl_ratio_mean,strehl_ratio_std,synthesis_efficiency_mean,synthesis_efficiency_std,phase_rmse_rad_mean,phase_rmse_rad_std
cycle41_stack,0.0,256,0.5249670092314895,0.06402925215900421,0.6708975207218315,0.1730143846617521,0.7950329006058774,0.10301726213179134,0.8968283454305492,0.33235501442142806
cycle42_fusion,0.0,256,0.5253042814883451,0.0710266285128412,0.6826900869962054,0.17640628684729318,0.7958539627884252,0.11386587095957539,0.8923093177727424,0.3593576699385512
cycle41_stack,0.002,256,0.5249371088127543,0.06328992559897906,0.670305613864014,0.1708610002821689,0.7949746351514881,0.10186847476306467,0.8989726654835977,0.33519822757299894
cycle42_fusion,0.002,256,0.51353498206576,0.06510504609500166,0.6243387102197594,0.16356658788404796,0.7760745602297241,0.10429545061428461,0.9899431789526716,0.3420502398042026
cycle41_stack,0.005,256,0.4441081532304396,0.08828323107414533,0.4875593844334877,0.15319382864145775,0.6652318274231381,0.1382884439312072,1.3491283974144608,0.37812698085751956
cycle42_fusion,0.005,256,0.4564737222317742,0.0866198671421434,0.5035545876503913,0.16561008933415364,0.6849908938905221,0.13635044107593067,1.2728785070357844,0.40457717446284736
cycle41_stack,0.01,256,0.3907566811701046,0.08993489756245195,0.4209893175071284,0.1301068337029841,0.5814401491698753,0.13886333915515964,1.6302477191202343,0.3558319672705046
cycle42_fusion,0.01,256,0.4364807335341212,0.08542371527314495,0.47144970424069926,0.15396549940025614,0.653156200565478,0.1338804893320387,1.367090415675193,0.38806703002168863
cycle41_stack,0.02,256,0.37306618942968267,0.08776922590596749,0.4067168417648116,0.12105735334781302,0.5540059841057439,0.13497042556142722,1.7182184024713933,0.3463288383837789
cycle42_fusion,0.02,256,0.44019003991603334,0.08591224197654093,0.4810454254252523,0.1589166808933076,0.6589910129750504,0.13485390369696074,1.3639209206448868,0.3967497425084879
cycle41_stack,0.03,256,0.37273939291322233,0.08802452037804344,0.406890936376179,0.12072385832035758,0.5535100643262579,0.13532094880569323,1.7198101254180074,0.34674565634273
cycle42_fusion,0.03,256,0.4324395100026303,0.0858281964008101,0.4706567533440896,0.15460194955722592,0.6468359431273434,0.1345453295642816,1.3853010369930416,0.3897807738745758
