lambda_phy,epochs,batch_size,learning_rate,train_samples,val_samples,test_samples,rmse_rad,rmse_deg,mae_rad,mae_deg,mean_error_rad,mean_error_deg,phase_loss,farfield_loss,total_loss,channel_1_rmse_rad,channel_2_rmse_rad,channel_3_rmse_rad,channel_4_rmse_rad,channel_5_rmse_rad,channel_6_rmse_rad
0.0,12,32,0.001,716,153,155,1.265597939491272,72.51342049330322,1.0091397762298584,57.8194501167472,0.032318115234375,1.8516916047471368,0.379088254128733,0.0001221308387034843,0.379088254128733,1.2365278005599976,1.327369213104248,1.2381612062454224,1.3342363834381104,1.2124639749526978,1.239443302154541
0.01,12,32,0.001,716,153,155,1.288636565208435,73.83343651267823,1.0154311656951904,58.179920180383796,0.016905060037970543,0.9685885925909793,0.37985182096881254,0.00012153921237651018,0.37985304190266517,1.2748022079467773,1.3397548198699951,1.2592166662216187,1.3617559671401978,1.228128433227539,1.2629872560501099
0.05,12,32,0.001,716,153,155,1.2822538614273071,73.4677345241374,1.0190900564193726,58.38955917657899,0.040218692272901535,2.304361324772674,0.38117162143030475,0.00012290123850107194,0.38117776301599315,1.2534329891204834,1.3425158262252808,1.260337471961975,1.347941279411316,1.2070894241333008,1.2763803005218506
0.1,12,32,0.001,716,153,155,1.2600396871566772,72.1949560930622,0.9957970380783081,57.05496753351518,0.004945992957800627,0.2833845219834026,0.37313457304431547,0.00012231583757731584,0.3731468012256007,1.1911410093307495,1.3351287841796875,1.2060238122940063,1.3664817810058594,1.2330844402313232,1.2176015377044678
0.5,12,32,0.001,716,153,155,1.2788732051849365,73.274037189465,1.0148686170578003,58.147688517690504,0.023518145084381104,1.3474904553113807,0.37976528310006663,0.00012077493583708401,0.37982566548931984,1.246822476387024,1.3366508483886719,1.2380129098892212,1.3780982494354248,1.2187001705169678,1.2469309568405151
1.0,12,32,0.001,716,153,155,1.2690178155899048,72.70936496021255,1.0020272731781006,57.41193371010756,0.011502924375236034,0.6590690187591841,0.3805041363162379,0.00012155417183924827,0.3806256919137893,1.2573318481445312,1.3492307662963867,1.255500316619873,1.3079371452331543,1.1987587213516235,1.2398090362548828
