sample_index,state,main_lobe_energy,side_lobe_energy,total_energy,main_lobe_ratio,side_lobe_ratio,peak_intensity,max_side_lobe_intensity,strehl_ratio,synthesis_efficiency,peak_to_sidelobe_ratio,phase_rmse_rad
0,before,44383208.228884734,72631555.39981055,117014763.6286953,0.3792957986884377,0.6207042013115622,6964450.495043308,6258692.282059053,0.5449420158074031,0.5609582599923132,1.1127644851636749,1.8847929239273071
0,comp0p3_best_rmse,77358527.17943685,44036393.841840014,121394921.02127686,0.6372468183069886,0.3627531816930114,12285236.662726162,917089.0867647532,0.9612734897637286,0.9777324923957033,13.395903233420011,0.2425863891839981
0,cycle41_best_strehl,76668573.10340399,44645839.45765494,121314412.56105892,0.6319823958659143,0.3680176041340857,12104103.657064255,901101.900535598,0.9471005144076824,0.9690121800656425,13.432558126744382,0.2822132110595703
0,cycle42_best_rmse,76105114.17059468,45135160.506135255,121240274.67672993,0.6277213935181045,0.3722786064818954,11898465.755280001,892679.3772419938,0.931010123241219,0.9618906366905935,13.328935403483037,0.3133203685283661
0,cycle42_best_comp,76004834.79918034,45223196.38380362,121228031.18298396,0.626957594357506,0.373042405642494,11868347.140178183,887469.0889259672,0.9286534550678156,0.9606232082205376,13.373251292100205,0.3183329403400421
0,cycle42_best_strehl,76004834.79918034,45223196.38380362,121228031.18298396,0.626957594357506,0.373042405642494,11868347.140178183,887469.0889259672,0.9286534550678156,0.9606232082205376,13.373251292100205,0.3183329403400421
0,cycle42_best_main_lobe,76013356.7582673,45214327.51438078,121227684.27264808,0.6270296856228719,0.3729703143771281,11862755.003060387,899517.5811131162,0.9282158914042054,0.9607309170485361,13.187907887670981,0.31773391366004944
0,ideal,79120339.95094915,42485202.868746355,121605542.8196955,0.6506310330628666,0.3493689669371334,12780167.968374692,945604.0406808642,1.0,1.0,13.515348304954973,0.0
1,before,34521624.90852329,81844398.07871102,116366022.98723431,0.2966641294625186,0.7033358705374815,3446000.4001625692,3446000.4001625692,0.2696365500586462,0.43631795477528357,1.0,2.2680459022521973
1,comp0p3_best_rmse,59753794.879340865,59519086.74917371,119272881.62851457,0.5009839123821045,0.4990160876178955,7047415.863159809,1690661.6427605846,0.5514337433278711,0.7552267206686091,4.168436596013669,0.8559154272079468
1,cycle41_best_strehl,64357266.06804824,55432175.47857845,119789441.54662669,0.5372532440014581,0.4627467559985418,8180441.3560656635,1172834.7774208277,0.6400887199846408,0.8134098780155228,6.974930752015396,0.7371609807014465
1,cycle42_best_rmse,68747803.97772062,51592996.23070505,120340800.20842567,0.5712759418140153,0.42872405818598475,9608457.112185234,899808.3318989201,0.751825573494961,0.8689017769683622,10.678337565410096,0.5786605477333069
1,cycle42_best_comp,69023553.42657126,51344210.256545395,120367763.68311666,0.5734388619887006,0.42656113801129936,9654154.800523665,844283.1628415603,0.7554012454619894,0.8723869673634187,11.434735673315068,0.5737252235412598
1,cycle42_best_strehl,69023553.42657126,51344210.256545395,120367763.68311666,0.5734388619887006,0.42656113801129936,9654154.800523665,844283.1628415603,0.7554012454619894,0.8723869673634187,11.434735673315068,0.5737252235412598
1,cycle42_best_main_lobe,69300066.67234106,51112075.12525496,120412141.79759602,0.5755239101122326,0.42447608988776736,9804633.598643852,853475.3657871985,0.7671756445538133,0.8758818113686545,11.487892904326067,0.5556701421737671
1,ideal,79120339.95094915,42485202.868746355,121605542.8196955,0.6506310330628666,0.3493689669371334,12780167.968374692,945604.0406808642,1.0,1.0,13.515348304954973,0.0
2,before,44286555.304655,72759241.30139798,117045796.60605298,0.37836946382374176,0.6216305361762582,3831362.848537616,2201145.045047463,0.2997897099645762,0.559736666097625,1.7406226169230028,1.8712207078933716
2,comp0p3_best_rmse,75541048.11119871,45639216.07363886,121180264.18483756,0.6233774832837065,0.37662251671629354,11764316.241760902,890856.0963099307,0.9205134291562069,0.9547614198577834,13.205630281355871,0.34409603476524353
2,cycle41_best_strehl,75535477.05985242,45644391.365648344,121179868.42550077,0.6233335457555006,0.3766664542444994,11763021.305548966,898242.021258919,0.9204121052757117,0.9546910074789976,13.095603442224471,0.3439019024372101
2,cycle42_best_rmse,75917234.82937546,45296664.78360544,121213899.6129809,0.6263079982722164,0.37369200172778355,11796090.466414936,882281.7089333549,0.9229996425403081,0.9595160343906578,13.369981885577069,0.33492377400398254
2,cycle42_best_comp,75793994.56391789,45408359.39191459,121202353.95583248,0.6253508458386715,0.37464915416132855,11780393.371251436,885547.983865852,0.9217714039754986,0.9579584037544147,13.30294189121659,0.33660897612571716
2,cycle42_best_strehl,75793994.56391789,45408359.39191459,121202353.95583248,0.6253508458386715,0.37464915416132855,11780393.371251436,885547.983865852,0.9217714039754986,0.9579584037544147,13.30294189121659,0.33660897612571716
2,cycle42_best_main_lobe,75710045.58775342,45482937.7024664,121192983.29021981,0.6247065096702109,0.3752934903297891,11761037.20608797,874128.8542028716,0.9202568569670896,0.9568973747419444,13.454580694299352,0.34057921171188354
2,ideal,79120339.95094915,42485202.868746355,121605542.8196955,0.6506310330628666,0.3493689669371334,12780167.968374692,945604.0406808642,1.0,1.0,13.515348304954973,0.0
3,before,32874713.07199212,83485471.11021903,116360184.18221115,0.2825254471968937,0.7174745528031063,5678415.521334623,4501559.068726568,0.4443146236720996,0.4155026772176773,1.2614330801041722,1.681734561920166
3,comp0p3_best_rmse,64160227.41969684,55932976.65067361,120093204.07037045,0.5342536067411539,0.4657463932588461,10288228.3286445,800842.672739524,0.8050151104510793,0.8109195114615677,12.846753399703976,1.1336497068405151
3,cycle41_best_strehl,64476878.61043625,55658191.31241543,120135069.92285168,0.5367032179016669,0.46329678209833314,10410486.727676542,853409.7421415016,0.8145813696218962,0.8149216579505201,12.198696843503349,1.1310081481933594
3,cycle42_best_rmse,61987971.1321894,57828481.774520926,119816452.90671033,0.51735775536982,0.48264224463018,9554332.744103732,999767.6999510435,0.7475905455817571,0.7834644185125974,9.556552731771177,1.2091397047042847
3,cycle42_best_comp,62121374.41209358,57726931.20721106,119848305.61930464,0.5183333555788489,0.48166664442115115,9695216.74579386,1014273.6589180105,0.7586141879970019,0.7851504992345316,9.558778008822943,1.1943340301513672
3,cycle42_best_strehl,62121374.41209358,57726931.20721106,119848305.61930464,0.5183333555788489,0.48166664442115115,9695216.74579386,1014273.6589180105,0.7586141879970019,0.7851504992345316,9.558778008822943,1.1943340301513672
3,cycle42_best_main_lobe,61777662.54074447,58026660.44742733,119804322.9881718,0.5156547026007045,0.48434529739929555,9578089.131847136,1069878.185976347,0.7494493934311899,0.7808063334794022,8.952504366753104,1.1998775005340576
3,ideal,79120339.95094915,42485202.868746355,121605542.8196955,0.6506310330628666,0.3493689669371334,12780167.968374692,945604.0406808642,1.0,1.0,13.515348304954973,0.0
