noise_sigma,baseline_rmse_rad,physics_rmse_rad,rmse_change_percent,baseline_farfield_mse,physics_farfield_mse,farfield_change_percent
0.0,1.013447642326355,1.0058515071868896,-0.7495340481555129,0.0001219025125465123,0.00012020073245366802,-1.396017241396033
0.01,1.0152368545532227,1.0177407264709473,0.2466293364444983,0.000173212043591775,0.00017471578212280292,0.8681489461390581
0.03,1.0526164770126343,1.2601274251937866,19.71382290823305,0.0005827781205880456,0.0006567739619640633,12.697086380208153
0.05,1.1301172971725464,1.586962103843689,40.42454777164529,0.001396261912304908,0.0015789742901688442,13.085824103181324
0.08,1.321244478225708,1.7108837366104126,29.490322556197096,0.003396532207261771,0.0035808359389193356,5.426232416213339
