epoch,train_total_loss,train_phase_loss,train_farfield_loss,val_total_loss,val_phase_loss,val_farfield_loss,val_rmse_rad,val_rmse_deg,val_mae_rad,val_mae_deg
1,0.4941167662824903,0.4941167662824903,0.00041173367486667953,0.34179135322570803,0.34179135322570803,4.286110828009744e-05,0.4119701683521271,23.604151931870877,0.3553243577480316,20.358586057158803
2,0.07451410870200821,0.07451410870200821,1.9658949587600155e-05,0.0029822782427072524,0.0029822782427072524,1.0036143688315253e-06,0.05836562439799309,3.3441039466507902,0.05041094124317169,2.8883341745157134
3,0.001478270146430337,0.001478270146430337,3.4765969124756726e-07,0.0004092916737621029,0.0004092916737621029,6.912791112275347e-08,0.01568179950118065,0.8985009265880108,0.0123285548761487,0.7063741618987519
4,0.00025380920943072333,0.00025380920943072333,5.550278184987941e-08,0.00016976944384320327,0.00016976944384320327,4.432577043189667e-08,0.01161656342446804,0.6655800566680574,0.009187576361000538,0.526409349439494
5,0.00012193854494918404,0.00012193854494918404,3.008580241571833e-08,0.00011904489093770583,0.00011904489093770583,3.4478231967227654e-08,0.010017146356403828,0.5739402089867897,0.00729956291615963,0.4182341473861544
6,8.471622601583866e-05,8.471622601583866e-05,1.9460798727420427e-08,6.805960738953824e-05,6.805960738953824e-05,1.5978884349010512e-08,0.007442427799105644,0.4264197022195915,0.005909390281885862,0.33858312264768375
7,6.71230473173117e-05,6.71230473173117e-05,1.6513794167037434e-08,4.42615451659852e-05,4.42615451659852e-05,1.0472882152612328e-08,0.006035134196281433,0.34578771824200427,0.00497023481875658,0.2847734783037217
8,3.931426312192343e-05,3.931426312192343e-05,8.623066243274025e-09,3.214734097127803e-05,3.214734097127803e-05,6.888208705646548e-09,0.004813949577510357,0.27581899358012923,0.0036002143751829863,0.20627708904031383
