model_name,sample_index,channel,center_y,center_x,mean_radius_px,top_fraction,top_energy_ratio,plane_1_energy_ratio,plane_2_energy_ratio,figure_path
deep_residual_cnn,0,1,77.17464588636388,80.87269740903318,24.725673775110995,0.1,0.7838026712022096,0.5250836956166086,0.47491630438338883,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample0.png
deep_residual_cnn,0,2,76.22119282607522,79.56216637168257,23.49830067082642,0.1,0.7841845880196069,0.5313387150424969,0.46866128495750076,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample0.png
deep_residual_cnn,0,3,78.63662337320308,75.28711188395798,23.60520548422781,0.1,0.7939979433798304,0.5166210542517865,0.4833789457482096,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample0.png
deep_residual_cnn,0,4,77.44897059225224,81.3886691416112,24.357579733652685,0.1,0.7894691219612955,0.525831060981234,0.4741689390187635,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample0.png
deep_residual_cnn,0,5,75.93368698925114,79.13472770044251,23.872145324695015,0.1,0.781428715284007,0.5288531546008783,0.471146807580789,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample0.png
deep_residual_cnn,0,6,78.89760817137848,75.78148946976181,23.572447198467657,0.1,0.7945941687070237,0.5172256478711984,0.4827743521287977,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample0.png
deep_residual_cnn,1,1,79.0971138557845,79.47048651811835,25.120962664658826,0.1,0.757137844214611,0.521163196850829,0.4788368378011244,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample1.png
deep_residual_cnn,1,2,77.24813470326242,80.64213914017122,24.955023191283924,0.1,0.7612079013598616,0.5331855518114602,0.4668144892002265,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample1.png
deep_residual_cnn,1,3,77.86152056045644,76.81160033300858,24.071371595023972,0.1,0.7886490214599613,0.5214252245188818,0.47857477548110483,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample1.png
deep_residual_cnn,1,4,79.02441921458512,80.34158717495166,25.087724116086516,0.1,0.7611247801323799,0.5228237902069052,0.4771762097930923,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample1.png
deep_residual_cnn,1,5,77.06677356345537,79.28821145925207,24.845038455800022,0.1,0.7694855844981016,0.5310670154603526,0.4689329845396445,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample1.png
deep_residual_cnn,1,6,78.07624319220565,75.48600270881083,23.54854854898795,0.1,0.8052115036572184,0.5172270828877598,0.4827729576793671,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample1.png
deep_residual_cnn,2,1,78.96124928700476,78.35356810864343,24.750237392434048,0.1,0.797113827582601,0.5254798579471595,0.4745201004234363,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample2.png
deep_residual_cnn,2,2,76.74195596510265,79.40263188249502,24.91805491112233,0.1,0.7654862448802328,0.5266780166930708,0.4733219833069261,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample2.png
deep_residual_cnn,2,3,76.56065275975793,82.19887884846622,25.601602177208775,0.1,0.7574385557737028,0.5272743991922564,0.47272560080773784,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample2.png
deep_residual_cnn,2,4,78.38332501620292,78.96364594489854,24.62676242367229,0.1,0.7966712705904921,0.5270420121009585,0.4729579380072236,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample2.png
deep_residual_cnn,2,5,77.03151437471865,79.65860640818715,24.79203565138451,0.1,0.7703586645846114,0.5253708959079113,0.47462914202182055,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample2.png
deep_residual_cnn,2,6,76.60889748570558,81.88848264685078,25.68572115219199,0.1,0.7567000181279118,0.5259262228247076,0.47407382494803463,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample2.png
deep_residual_cnn,3,1,79.8606277811269,78.66007227135965,23.654825162363565,0.1,0.7853668130896595,0.529561907044038,0.47043809295595956,result\figures\cycle43_attribution_cycle41_64\deep_residual_cnn_sample3.png
