sample_index,state,main_lobe_energy,side_lobe_energy,total_energy,main_lobe_ratio,side_lobe_ratio,peak_intensity,max_side_lobe_intensity,strehl_ratio,synthesis_efficiency,peak_to_sidelobe_ratio,phase_rmse_rad
0,before,56315923.90234375,62062447.18684013,118378371.08918388,0.4757281535823505,0.5242718464176495,4926504.5,2233264.25,0.38548041778480535,0.7117756005801794,2.2059657740905494,1.4895875453948975
0,baseline_compensated,71330836.76953125,49322091.01729582,120652927.78682707,0.5912068449392338,0.4087931550607662,10464911.0,938845.6875,0.8188398618860097,0.9015487212739636,11.146571943964966,0.5120019912719727
0,physics_compensated,73069014.03125,47794470.64775601,120863484.67900601,0.6045582272041019,0.39544177279589815,10965982.0,892077.25,0.8580467799797311,0.9235175016587098,12.292637212752595,0.4791869521141052
0,ideal,79120334.91516113,42485201.56443155,121605536.47959268,0.6506310255737309,0.3493689744262691,12780168.0,945604.1875,1.0,1.0,13.515346239940376,0.0
1,before,52444699.96777344,65521797.722932816,117966497.69070625,0.444572832070314,0.5554271679296859,7454678.5,2579689.25,0.5833005090386918,0.6628472948706379,2.88975833038805,1.4297587871551514
1,baseline_compensated,68784036.57421875,51540909.23209955,120324945.8063183,0.571652337869633,0.42834766213036696,9590533.0,1045568.9375,0.7504230773805164,0.8693597751826284,9.172549657922485,0.5718652009963989
1,physics_compensated,67001074.6328125,53112996.87926233,120114071.51207483,0.5578120347546208,0.4421879652453791,9109910.0,1267061.375,0.7128161382542076,0.8468249623141278,7.189793785640416,0.6184656620025635
1,ideal,79120334.91516113,42485201.56443155,121605536.47959268,0.6506310255737309,0.3493689744262691,12780168.0,945604.1875,1.0,1.0,13.515346239940376,0.0
2,before,50243502.3515625,67602713.7655727,117846216.1171352,0.42634803226623874,0.5736519677337613,4302801.5,3299984.0,0.33667800767564243,0.6350264114204954,1.303885564293645,1.4991962909698486
2,baseline_compensated,71471728.734375,49172248.17385474,120643976.90822974,0.5924185406184131,0.40758145938158685,10319123.0,889802.3125,0.8074325001048499,0.9033294514110999,11.597096180844101,0.5140515565872192
2,physics_compensated,74646170.9296875,46383574.79316172,121029745.72284922,0.6167588842219226,0.38324111577807735,11249683.0,932232.4375,0.88024531445909,0.9434511495651381,12.06746573866134,0.3944188952445984
2,ideal,79120334.91516113,42485201.56443155,121605536.47959268,0.6506310255737309,0.3493689744262691,12780168.0,945604.1875,1.0,1.0,13.515346239940376,0.0
3,before,46923292.625,70356591.25525409,117279883.88025409,0.40009668386873526,0.5999033161312648,6982117.5,2386976.25,0.5463243910408689,0.593062360963395,2.9250888022032058,1.9030169248580933
3,baseline_compensated,53807544.4765625,65024552.56393783,118832097.04050033,0.45280312151879154,0.5471968784812085,7220250.0,1539810.5,0.5649573620628461,0.680072253666002,4.689051022836901,1.467187523841858
3,physics_compensated,56163947.3671875,63007654.13585666,119171601.50304416,0.47128633549288024,0.5287136645071198,8277290.5,1410833.875,0.6476667990592925,0.709854772826869,5.866949076481453,1.372548222541809
3,ideal,79120334.91516113,42485201.56443155,121605536.47959268,0.6506310255737309,0.3493689744262691,12780168.0,945604.1875,1.0,1.0,13.515346239940376,0.0
4,before,38367212.09375,78178708.70549783,116545920.79924783,0.3292025309048621,0.6707974690951378,4204439.0,3567045.5,0.32898151260609404,0.4849222660001409,1.1786894784493218,1.9157333374023438
4,baseline_compensated,55032080.96875,63736066.39543322,118768147.36418322,0.4633572400519398,0.5366427599480602,6114364.5,3088315.0,0.47842598782739004,0.6955491407835874,1.9798383584576056,0.9644225835800171
4,physics_compensated,56145847.40625,62756341.67667599,118902189.08292599,0.4722019656601291,0.5277980343398708,6446544.5,2931903.75,0.5044178214245697,0.7096260078582057,2.1987572068148555,0.9403501152992249
4,ideal,79120334.91516113,42485201.56443155,121605536.47959268,0.6506310255737309,0.3493689744262691,12780168.0,945604.1875,1.0,1.0,13.515346239940376,0.0
5,before,35798808.3671875,80878845.54022852,116677653.90741602,0.30681803385928497,0.693181966140715,4175291.5,3811341.0,0.326700830536813,0.452460273399673,1.0954914556320203,2.2775397300720215
5,baseline_compensated,60087082.796875,59053403.108607665,119140485.90548266,0.5043380706416095,0.4956619293583905,6139125.5,1570558.75,0.48036344279668314,0.7594391866680665,3.908879881125109,1.198236346244812
5,physics_compensated,62056413.3125,57306717.214501336,119363130.52700134,0.5198959933315599,0.4801040066684401,6596031.0,1205728.625,0.5161145768975807,0.7843295074400485,5.470576764319583,1.2029308080673218
5,ideal,79120334.91516113,42485201.56443155,121605536.47959268,0.6506310255737309,0.3493689744262691,12780168.0,945604.1875,1.0,1.0,13.515346239940376,0.0
6,before,42939136.6328125,74147683.53775647,117086820.17056897,0.36672903551620845,0.6332709644837916,5977946.0,5977946.0,0.46775175412404596,0.5427067097081316,1.0,2.0889110565185547
6,baseline_compensated,68727097.5546875,51859969.28624308,120587066.84093058,0.569937550975903,0.43006244902409696,11265132.0,1110836.5,0.8814541405089511,0.8686401242914599,10.14112517908801,0.9567124247550964
6,physics_compensated,66917782.1875,53435326.11565158,120353108.30315158,0.5560120808757516,0.44398791912424845,10640391.0,1053156.0,0.8325705108101865,0.8457722311116903,10.103337967024828,1.0887295007705688
6,ideal,79120334.91516113,42485201.56443155,121605536.47959268,0.6506310255737309,0.3493689744262691,12780168.0,945604.1875,1.0,1.0,13.515346239940376,0.0
7,before,46744874.71484375,70913566.80809525,117658441.522939,0.39729299580880684,0.6027070041911932,3942011.5,3417796.25,0.30844754935928853,0.5908073413107664,1.1533781453473126,1.497049331665039
7,baseline_compensated,66663009.20703125,53419696.181661725,120082705.38869298,0.5551424661132615,0.44485753388673854,9088210.0,1420800.0,0.7111181950033834,0.8425521615715154,6.3965442004504505,0.8224677443504333
7,physics_compensated,66847523.55078125,53297469.97009191,120144993.52087316,0.556390421205255,0.443609578794745,9397748.0,1408036.875,0.7353383773984817,0.8448842339009343,6.674362132738889,0.807181715965271
7,ideal,79120334.91516113,42485201.56443155,121605536.47959268,0.6506310255737309,0.3493689744262691,12780168.0,945604.1875,1.0,1.0,13.515346239940376,0.0
8,before,33823251.0859375,82554696.46481775,116377947.55075525,0.2906328200296397,0.7093671799703603,4101705.75,3395531.5,0.3209430228147236,0.42749125268750915,1.2079716386079764,1.8186533451080322
8,baseline_compensated,51764562.455078125,66496721.39327246,118261283.84835058,0.43771351680451165,0.5622864831954884,4437381.5,3483191.25,0.34720838568006307,0.6542510532922294,1.273941389236092,1.1205990314483643
8,physics_compensated,43556788.578125,73886302.66626608,117443091.24439108,0.3708756991714931,0.6291243008285069,3696543.75,3696543.75,0.2892406226584815,0.5505131977111816,1.0,1.228397011756897
8,ideal,79120334.91516113,42485201.56443155,121605536.47959268,0.6506310255737309,0.3493689744262691,12780168.0,945604.1875,1.0,1.0,13.515346239940376,0.0
9,before,61117341.96875,57725021.32210249,118842363.29085249,0.5142723543722587,0.4857276456277413,6972286.5,1706269.0,0.5455551523266361,0.7724606074315116,4.086276255385288,1.4227296113967896
9,baseline_compensated,71098360.71875,49482858.42365548,120581219.14240548,0.5896304683632647,0.41036953163673534,10071124.0,970437.125,0.788027512627377,0.8986104620890077,10.37792530865923,0.6561411619186401
9,physics_compensated,73740230.453125,47145826.25000754,120886056.70313254,0.6099978150020519,0.3900021849979481,10761256.0,1041385.375,0.8420277417323465,0.9320009897859369,10.333596244329819,0.5413274765014648
9,ideal,79120334.91516113,42485201.56443155,121605536.47959268,0.6506310255737309,0.3493689744262691,12780168.0,945604.1875,1.0,1.0,13.515346239940376,0.0
10,before,43329682.45703125,73948191.05420579,117277873.51123704,0.36946169946438867,0.6305383005356113,4681661.0,4126942.25,0.36632233629479677,0.5476428089377104,1.1344139841065137,1.580066442489624
10,baseline_compensated,51959325.85839844,66337863.67781031,118297189.53620875,0.4392270523256563,0.5607729476743437,4572317.5,1991808.125,0.3577666193433451,0.6567126632377529,2.295561225306278,1.0546377897262573
10,physics_compensated,50712811.01953125,67510291.43160683,118223102.45113808,0.4289585535152995,0.5710414464847005,4624914.0,2240364.25,0.36188209732454224,0.6409579923278813,2.0643580614179147,1.0298131704330444
10,ideal,79120334.91516113,42485201.56443155,121605536.47959268,0.6506310255737309,0.3493689744262691,12780168.0,945604.1875,1.0,1.0,13.515346239940376,0.0
11,before,49227666.39453125,68329479.88676015,117557146.2812914,0.41875520078327705,0.5812447992167229,3766110.75,1922238.0,0.2946839783326792,0.6221872853207322,1.959232285492223,1.6444764137268066
11,baseline_compensated,58823230.6015625,60160734.78354061,118983965.3851031,0.4943794771940524,0.5056205228059476,6689074.0,1819640.0,0.5233948411319789,0.7434653893292699,3.676042513903849,1.2231485843658447
11,physics_compensated,58529184.376464844,60465373.14928001,118994557.52574486,0.49186438097222945,0.5081356190277705,6759874.5,1906126.125,0.5289347135342822,0.7397489461997893,3.5463941296119637,1.1172620058059692
11,ideal,79120334.91516113,42485201.56443155,121605536.47959268,0.6506310255737309,0.3493689744262691,12780168.0,945604.1875,1.0,1.0,13.515346239940376,0.0
12,before,36411032.296875,80216445.30959883,116627477.60647383,0.31219943227901786,0.6878005677209821,3891608.25,3643017.25,0.30450368492808544,0.4601981568444786,1.068237667554278,1.4989207983016968
12,baseline_compensated,59162617.29431152,60226638.769351214,119389256.06366274,0.4955438977085496,0.5044561022914504,8278823.5,1778023.0,0.6477867505341088,0.7477548895331422,4.656195954720496,1.171282410621643
12,physics_compensated,60702401.765625,58762674.1353122,119465075.9009372,0.5081183878036509,0.49188161219634907,8017472.5,1874340.875,0.627337019356866,0.7672161882367504,4.277489013304477,1.1305830478668213
12,ideal,79120334.91516113,42485201.56443155,121605536.47959268,0.6506310255737309,0.3493689744262691,12780168.0,945604.1875,1.0,1.0,13.515346239940376,0.0
13,before,41870219.265625,74970103.93805757,116840323.20368257,0.3583541890125937,0.6416458109874064,2895475.0,2508953.25,0.22656001079172042,0.5291966889488201,1.1540569757527368,1.6936798095703125
13,baseline_compensated,41914380.24609375,75206502.4833501,117120882.72944385,0.3578728171210803,0.6421271828789197,4608153.0,2667140.0,0.3605706122173042,0.5297548385132286,1.7277506992508829,1.512375831604004
13,physics_compensated,38645704.75,78193177.28836061,116838882.03836061,0.3307606515552915,0.6692393484447086,3861485.5,2678636.0,0.30214669322030824,0.4884421279490143,1.4415865014880709,1.6071640253067017
13,ideal,79120334.91516113,42485201.56443155,121605536.47959268,0.6506310255737309,0.3493689744262691,12780168.0,945604.1875,1.0,1.0,13.515346239940376,0.0
14,before,32764286.78515625,83434371.00035782,116198657.78551407,0.28196785926421275,0.7180321407357872,5329984.0,3987018.25,0.417051168654434,0.4141070284938584,1.3368346131849285,1.992608904838562
14,baseline_compensated,68547025.328125,51796026.022554636,120343051.35067964,0.5695968696055328,0.43040313039446726,9795633.0,1052276.75,0.7664713797189521,0.8663641957737711,9.308989293928617,0.6177006363868713
14,physics_compensated,68615839.7421875,51735298.33058645,120351138.07277395,0.5701303771693198,0.42986962283068014,9811984.0,1095548.125,0.7677507838707598,0.8672339394892937,8.956232753353486,0.6178537011146545
14,ideal,79120334.91516113,42485201.56443155,121605536.47959268,0.6506310255737309,0.3493689744262691,12780168.0,945604.1875,1.0,1.0,13.515346239940376,0.0
15,before,25670470.28125,90172423.39486596,115842893.67611596,0.22159728116790506,0.7784027188320949,4598873.0,4598873.0,0.35984448717732037,0.32444845321718924,1.0,2.143601179122925
15,baseline_compensated,51559612.31640625,67224153.94921754,118783766.2656238,0.43406278431270523,0.5659372156872948,7918748.5,2095614.625,0.619612238274176,0.6516606934448951,3.778723628634726,1.6034414768218994
15,physics_compensated,57145869.6875,62204881.56881806,119350751.25631806,0.4788061163081692,0.5211938836918307,8895914.0,1423067.5,0.6960717574291668,0.722265265292117,6.251224204052162,1.4272781610488892
15,ideal,79120334.91516113,42485201.56443155,121605536.47959268,0.6506310255737309,0.3493689744262691,12780168.0,945604.1875,1.0,1.0,13.515346239940376,0.0
