sample_index,state,main_lobe_ratio,total_energy,main_lobe_energy,peak_intensity
16,baseline_compensated,0.4470266575189248,118518785.63082573,52981056.59375,5482436.0
16,physics_compensated,0.4577885009899112,118664272.24587972,54323139.3125,5761431.0
16,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
17,before,0.3009965326835165,116639584.9271568,35108110.63671875,4532997.5
17,baseline_compensated,0.5527483308916836,120063080.32254338,66364667.25,9004464.0
17,physics_compensated,0.5820834408958905,120535493.67125683,70161714.90625,10193176.0
17,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
18,before,0.48403049081049765,118800276.172866,57502955.984375,6079635.5
18,baseline_compensated,0.4704244122447636,118644704.6691978,55813365.45996094,7248015.5
18,physics_compensated,0.457682727976514,118480070.11946411,54226281.703125,6264125.5
18,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
19,before,0.36714982883070724,117142099.4015278,43008701.744140625,4272135.0
19,baseline_compensated,0.487832213319608,119054945.292633,58078837.46875,6522469.5
19,physics_compensated,0.4751166876996912,118888282.72319746,56485807.09375,6235343.0
19,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
20,before,0.5369323249410414,119684217.28831413,64262325.04736328,8438567.0
20,baseline_compensated,0.5998379761815743,120861498.83730352,72497316.86083984,11179536.0
20,physics_compensated,0.5934130915357883,120784786.37809849,71675273.49511719,11083306.0
20,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
21,before,0.2861661322150697,116257841.03442596,33269056.708496094,6208351.0
21,baseline_compensated,0.6089471274139905,120940745.85608295,73646519.77636719,11124384.0
21,physics_compensated,0.606391276974862,120904774.10729732,73315600.36328125,11048315.0
21,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
22,before,0.42494983796492,117904906.81634548,50103671.046875,5822614.0
22,baseline_compensated,0.5610334376178966,120223030.36034703,67449140.00390625,9474007.0
22,physics_compensated,0.5489901691715435,120033199.92745459,65897046.734375,9000293.0
22,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
23,before,0.34957848494453514,117524866.48333974,41084164.76855469,4933308.5
23,baseline_compensated,0.3908746701797439,117768016.90541092,46032534.765625,3989793.25
23,physics_compensated,0.398569077695524,117886635.28958875,46985967.5,4286660.0
23,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
24,before,0.47000455960166326,117872146.15019439,55400446.140625,6786659.5
24,baseline_compensated,0.4920654613213097,119582268.13866349,58842303.9375,9589817.0
24,physics_compensated,0.49725921788987965,119453733.38708067,59399470.03808594,8617835.0
24,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
25,before,0.37162320766694823,117681424.3043898,43733148.3828125,4627443.0
25,baseline_compensated,0.4165097643766501,117962916.62202457,49132706.607421875,4231925.0
25,physics_compensated,0.39919487517628816,117818308.80808534,47032465.078125,3818777.25
25,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
26,before,0.3562412827757496,116965671.59751274,41668000.890625,3750655.0
26,baseline_compensated,0.5141713785479528,119552059.296482,61470247.13671875,8191640.5
26,physics_compensated,0.4792566119003428,119040025.18029046,57050719.1484375,7034431.5
26,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
27,before,0.19823440889215602,115582785.66955249,22912485.1953125,4644220.5
27,baseline_compensated,0.5329884208871314,120036119.9022034,63977861.99609375,10014808.0
27,physics_compensated,0.5470764092525529,120243661.88476789,65782470.779296875,10475225.0
27,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
28,before,0.32580971544614273,116643816.82576561,38003688.76855469,5789606.5
28,baseline_compensated,0.5127318237935662,119406842.98846224,61223688.37890625,8376304.5
28,physics_compensated,0.549219327904935,120065592.24079973,65942343.875,9216762.0
28,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
29,before,0.4619815475065736,118038038.34896201,54531395.62109375,5134173.0
29,baseline_compensated,0.4672031643167568,118758537.7427566,55484364.623046875,6059597.5
29,physics_compensated,0.44495529059985267,118348558.31303477,52659817.15625,4805231.0
29,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
30,before,0.412460591880983,117929043.70377082,48641083.166015625,5245140.0
30,baseline_compensated,0.529984796531127,119745693.33656293,63463396.91845703,8310872.5
30,physics_compensated,0.5786623870175445,120500064.30700003,69728854.84765625,10155996.0
30,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
31,before,0.2843411960483021,116171310.06795576,33032289.251220703,4504216.5
31,baseline_compensated,0.330913775652021,116869623.98301053,38673768.53125,3509307.0
31,physics_compensated,0.3338545371306124,116989057.72115813,39057327.71484375,4020213.0
31,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
32,before,0.426872740446234,118190171.0523774,50452162.2109375,4741082.0
32,baseline_compensated,0.5063659040103243,119353193.30617443,60436387.625,7244142.0
32,physics_compensated,0.4651889659522908,118786286.41368279,55258069.74609375,6086949.0
32,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
33,before,0.37970791155659156,117608074.85748819,44656716.486328125,5669560.0
33,baseline_compensated,0.45629564803674755,118636747.93779841,54133431.78125,5727389.5
33,physics_compensated,0.4450067074489898,118465023.55061227,52717730.078125,5329253.5
33,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
34,before,0.24772836023197264,115905030.76820496,28712963.21484375,3045206.0
34,baseline_compensated,0.5214487740727213,119272247.16003719,62194367.0625,6763956.5
34,physics_compensated,0.46742432250715527,118651118.03798799,55460418.46362305,5221846.5
34,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
35,before,0.3360286305839348,116760218.06076545,39234776.181640625,2859928.25
35,baseline_compensated,0.6082862727308461,120940596.7041562,73566504.79101562,11224281.0
35,physics_compensated,0.6226028952810468,121114809.86866531,75406431.28564453,11445804.0
35,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
36,before,0.2652908044994666,116298847.6501483,30853014.85546875,4132516.25
36,baseline_compensated,0.5630361942804375,120375611.38286194,67775826.1171875,10412771.0
36,physics_compensated,0.5611464412080551,120305068.06889337,67508760.80615234,10091831.0
36,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
37,before,0.3379786854686128,116744973.8499539,39457312.796875,5774804.5
37,baseline_compensated,0.6076927062861378,120957625.22535539,73505066.61914062,11332586.0
37,physics_compensated,0.5955328156949472,120773528.91527379,71924599.73632812,10927413.0
37,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
38,before,0.4035977305123276,117267126.24361345,47328746.015625,6902902.0
38,baseline_compensated,0.5454885650214613,120281872.19065464,65612385.859375,10808286.0
38,physics_compensated,0.5511218585404267,120353058.86803168,66329201.484375,10914412.0
38,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
39,before,0.26292883756775726,116000329.89391859,30499831.896484375,4188386.0
39,baseline_compensated,0.4952931294826685,119285019.42278585,59081050.5703125,7509987.0
39,physics_compensated,0.5465779375590529,119851181.63106301,65508011.669921875,8158373.5
39,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
40,before,0.4017758440147281,117289081.8536649,47123919.85546875,6521937.0
40,baseline_compensated,0.5413859660469815,120022630.48376521,64978567.751953125,9444468.0
40,physics_compensated,0.5548005864426356,120368530.64769243,66780531.392578125,10796638.0
40,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
41,before,0.2546045911233256,115923461.01973832,29514645.39453125,3004868.5
41,baseline_compensated,0.4948508388770931,119194139.86132327,58983320.099609375,7118127.5
41,physics_compensated,0.4874901512152988,119091494.70802666,58055930.763671875,6890548.0
41,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
42,before,0.2929066945187503,116485596.09132496,34119410.91015625,3515497.25
42,baseline_compensated,0.6176246230225664,121099033.84268978,74793745.12548828,11599368.0
42,physics_compensated,0.6314607408116687,121316361.07220347,76606519.23522949,12129961.0
42,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
43,before,0.40611287929984474,117624786.48103788,47768940.71484375,4693721.0
43,baseline_compensated,0.5447764187687585,120093475.00454006,65424093.23046875,9670247.0
43,physics_compensated,0.5755133748475252,120565335.08819607,69386962.88623047,10781807.0
43,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
44,before,0.436128487153995,117968191.9823687,51449289.1015625,5562980.5
44,baseline_compensated,0.6208197440305814,121118485.45602897,75192747.1381836,11520885.0
44,physics_compensated,0.535038393467673,119757324.21048003,64074766.3515625,8164279.5
44,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
45,before,0.42111854569884394,117493820.59233575,49478826.85644531,5466520.5
45,baseline_compensated,0.36304451434039164,117408028.69657959,42624340.7578125,4203069.5
45,physics_compensated,0.43200214087552863,118229089.28879492,51075219.68652344,5309946.0
45,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
46,before,0.36748822432615613,117415169.3191006,43148692.08203125,4950435.0
46,baseline_compensated,0.3895442510957322,117591281.70105565,45807007.765625,3307818.25
46,physics_compensated,0.40833780038560974,117821777.9042741,48111085.626953125,3507672.25
46,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
47,before,0.45050120727169607,117844828.92630383,53089237.70202637,6566377.5
47,baseline_compensated,0.42609529150367104,118506576.99600467,50495094.470214844,6702062.5
47,physics_compensated,0.4566742689071234,119071575.77025422,54376924.8125,8445230.0
47,ideal,0.6506310255737309,121605536.47959268,79120334.91516113,12780168.0
48,before,0.3611534971277359,116982816.3658404,42248753.234375,4314542.5
48,baseline_compensated,0.4306974241499342,118216690.09178418,50915623.9140625,5469590.5
48,physics_compensated,0.3650390283823237,117287595.14611591,42814549.7734375,3964140.25
