"state","samples","main_lobe_ratio_mean","main_lobe_ratio_std","main_lobe_ratio_min","main_lobe_ratio_max","side_lobe_ratio_mean","side_lobe_ratio_std","side_lobe_ratio_min","side_lobe_ratio_max","strehl_ratio_mean","strehl_ratio_std","strehl_ratio_min","strehl_ratio_max","synthesis_efficiency_mean","synthesis_efficiency_std","synthesis_efficiency_min","synthesis_efficiency_max","peak_to_sidelobe_ratio_mean","peak_to_sidelobe_ratio_std","peak_to_sidelobe_ratio_min","peak_to_sidelobe_ratio_max","phase_rmse_rad_mean","phase_rmse_rad_std","phase_rmse_rad_min","phase_rmse_rad_max","main_lobe_ratio_gain_vs_before_percent","strehl_ratio_gain_vs_before_percent","synthesis_efficiency_gain_vs_before_percent","peak_to_sidelobe_ratio_gain_vs_before_percent","side_lobe_ratio_gain_vs_before_percent","phase_rmse_rad_gain_vs_before_percent"
"before","256","0.35938811528651615","0.0805245777959598","0.18612445834135918","0.6014889749089729","0.6406118847134838","0.0805245777959598","0.3985110250910271","0.8138755416586408","0.3906873040213067","0.11282620242389887","0.19818485562944085","0.8419985558875283","0.5328564246738052","0.12367494228272094","0.27117980850929113","0.9154557652436631","1.7115681785498256","0.9824728431651032","1.0","7.378467031809491","1.7749086800031364","0.33274832490476913","0.6746439933776855","2.4669077396392822","0.0","0.0","0.0","0.0","0.0","0.0"
"baseline_compensated","256","0.5193067600124359","0.07329965191275163","0.2785711068321502","0.6365497596561472","0.4806932399875641","0.07329965191275163","0.36345024034385276","0.7214288931678499","0.6471722954763046","0.19132088873932998","0.20283356212531792","0.9683273334122056","0.7860228928639492","0.11740665373980787","0.4090776933848837","0.9767311371297559","6.557996973121412","4.014049636324859","1.0","13.613865923729103","0.9059072231175378","0.32743364662212454","0.2597646415233612","1.8116239309310913","44.49747721858507","65.64968679939754","47.51119747596607","283.1572154302296","24.963421463441005","48.96034746328825"
"physics_compensated","256","0.5215464748130259","0.07316484222433185","0.3006293323763728","0.6322946948180157","0.4784535251869742","0.07316484222433185","0.36770530518198424","0.6993706676236272","0.6535644743676297","0.1946051945717228","0.22284214104227737","0.9571414084697478","0.7896443223125521","0.11730316853325966","0.4424312733132354","0.9694863885505872","6.63188572065312","4.061758738454362","1.0","13.470790366497758","0.8942764452658594","0.326980148586982","0.2506721019744873","1.6229692697525024","45.12067946298994","67.28582363454191","48.19082322146023","287.47423583629444","25.313042638763342","49.615636266747025"
"residual_best_compensated","256","0.523613801509409","0.07520464179744213","0.3110458266556155","0.6426653731829151","0.47638619849059105","0.07520464179744213","0.35733462681708494","0.6889541733443845","0.663759316849587","0.20024230432724233","0.20844955515681132","0.9703299217879683","0.7930899898322178","0.12065654809584458","0.45858976725398365","0.9865972636110373","6.919307119637148","4.277370448924429","1.0","13.495471085677485","0.862535139429383","0.31579927165550575","0.22770746052265167","1.7821402549743652","45.6959146626346","69.8952875768351","48.83747343338222","304.26710652300915","25.635753920167538","51.40397084874218"
"residual_physics_l0p05_compensated","256","0.5174709419374619","0.07739282244940031","0.2709550582343132","0.6375868471357281","0.48252905806253815","0.07739282244940031","0.3624131528642719","0.7290449417656868","0.6533966224105866","0.19759072439023914","0.22371527861355212","0.9696090910265835","0.7833118347965395","0.12380625095940007","0.3973450559302258","0.9784222159212966","6.618822705145345","4.256188480568507","1.0","13.626430854794659","0.8804994450765662","0.3188795592137306","0.21495844423770905","2.037135124206543","43.98665959449281","67.24286085062192","47.00242834517206","286.71101850704144","24.67684889250404","50.391845219298084"
"ideal","256","0.6506310255737306","2.220446049250313e-16","0.6506310255737309","0.6506310255737309","0.34936897442626896","1.1102230246251565e-16","0.3493689744262691","0.3493689744262691","1.0","0.0","1.0","1.0","1.0","0.0","1.0","1.0","13.515346239940378","1.7763568394002505e-15","13.515346239940376","13.515346239940376","0.0","0.0","0.0","0.0","81.0385479928923","155.9591749481226","87.66781325985936","689.6469687460325","45.4632386998993","100.0"
