sample_index,state,strehl_ratio,peak_intensity,ideal_peak_intensity,phase_rmse_rad
19,ideal,1.0,12780168.0,12780168.0,0.0
20,before,0.660286077616507,8438567.0,12780168.0,0.9220142960548401
20,baseline_compensated,0.8747565759698933,11179536.0,12780168.0,0.5504108667373657
20,physics_compensated,0.8672269409916991,11083306.0,12780168.0,0.5928871631622314
20,ideal,1.0,12780168.0,12780168.0,0.0
21,before,0.48578007738239437,6208351.0,12780168.0,2.1776747703552246
21,baseline_compensated,0.870441139740886,11124384.0,12780168.0,0.42762064933776855
21,physics_compensated,0.8644890270613032,11048315.0,12780168.0,0.4271293580532074
21,ideal,1.0,12780168.0,12780168.0,0.0
22,before,0.4555976102974546,5822614.0,12780168.0,1.5862189531326294
22,baseline_compensated,0.7413053568622885,9474007.0,12780168.0,0.6218716502189636
22,physics_compensated,0.704239020958097,9000293.0,12780168.0,0.6464440226554871
22,ideal,1.0,12780168.0,12780168.0,0.0
23,before,0.38601280515248315,4933308.5,12780168.0,1.8824049234390259
23,baseline_compensated,0.3121862912913195,3989793.25,12780168.0,1.2541632652282715
23,physics_compensated,0.3354149961095973,4286660.0,12780168.0,1.228441834449768
23,ideal,1.0,12780168.0,12780168.0,0.0
24,before,0.5310305388786751,6786659.5,12780168.0,2.0310308933258057
24,baseline_compensated,0.7503670530778626,9589817.0,12780168.0,1.4390116930007935
24,physics_compensated,0.6743131232703671,8617835.0,12780168.0,1.371925711631775
24,ideal,1.0,12780168.0,12780168.0,0.0
25,before,0.36207998204718433,4627443.0,12780168.0,1.8120882511138916
25,baseline_compensated,0.3311321885596496,4231925.0,12780168.0,1.1543408632278442
25,physics_compensated,0.2988049335501693,3818777.25,12780168.0,1.1423323154449463
25,ideal,1.0,12780168.0,12780168.0,0.0
26,before,0.2934746241207471,3750655.0,12780168.0,2.390979766845703
26,baseline_compensated,0.640965009223666,8191640.5,12780168.0,0.9421214461326599
26,physics_compensated,0.5504177644613123,7034431.5,12780168.0,1.0884041786193848
26,ideal,1.0,12780168.0,12780168.0,0.0
27,before,0.36339275821726286,4644220.5,12780168.0,2.091686248779297
27,baseline_compensated,0.7836209977834407,10014808.0,12780168.0,1.117275595664978
27,physics_compensated,0.8196468935306641,10475225.0,12780168.0,1.061331033706665
27,ideal,1.0,12780168.0,12780168.0,0.0
28,before,0.453014897769732,5789606.5,12780168.0,1.9832707643508911
28,baseline_compensated,0.655414271549482,8376304.5,12780168.0,1.006008505821228
28,physics_compensated,0.7211769047167456,9216762.0,12780168.0,0.8826624155044556
28,ideal,1.0,12780168.0,12780168.0,0.0
29,before,0.401729695572077,5134173.0,12780168.0,1.8270351886749268
29,baseline_compensated,0.4741406763979941,6059597.5,12780168.0,1.0861144065856934
29,physics_compensated,0.37599122327656415,4805231.0,12780168.0,1.2466470003128052
29,ideal,1.0,12780168.0,12780168.0,0.0
30,before,0.41041244528240944,5245140.0,12780168.0,1.3106014728546143
30,baseline_compensated,0.6502944640477339,8310872.5,12780168.0,0.7704311609268188
