system,num_beams,predicted_phase_count,network_output_dim,main_dataset_samples,train_samples,test_samples,baseline_epochs,physics_epochs,physics_lambda,baseline_rmse_rad,physics_rmse_rad,physics_rmse_change_percent,baseline_mae_rad,physics_mae_rad,physics_mae_change_percent,baseline_farfield_mse,physics_farfield_mse,farfield_mse_change_percent,channel_rmse_std_rad,note
two_beam,2,1,2,2000,1400,300,20,8,0.01,0.0037421337328851223,0.0042908675968647,14.66366258259064,0.0030820819083601236,0.0032195744570344687,4.461028381542928,5.891359653453776e-09,4.816133659287421e-09,-18.250897202244474,0.0,低维方法验证；物理约束模型使用 Cycle 08 中 lambda=0.01 候选。
seven_beam,7,6,12,1024,716,155,30,30,0.1,1.0269757509231567,1.0226855278015137,-0.4177531083656601,0.8190614581108093,0.8164239525794983,-0.32201558322552787,0.0001193535,0.0001150137,-3.636089431813899,0.06804584308783466,论文主系统；中心光束为参考，外圈 6 路相位同时反演。
