epoch,train_total_loss,train_phase_loss,train_farfield_loss,val_total_loss,val_phase_loss,val_farfield_loss,val_rmse_rad,val_rmse_deg,val_mae_rad,val_mae_deg
1,0.496124404668808,0.49610410213470457,0.0004060388686567811,0.3687144410610199,0.3687114842732747,5.913590963852281e-05,0.5151190757751465,29.51414898859554,0.4538002908229828,26.000841405966256
2,0.1008659833004432,0.10086422275485737,3.522205001510364e-05,0.005301713223258654,0.00530164781336983,1.307277401186487e-06,0.07304918020963669,4.185409722902761,0.0606943778693676,3.4775316920869894
3,0.0016903313784860075,0.0016903117042966188,3.933094838462888e-07,0.0003982886396503697,0.00039828406646847726,9.147280640794028e-08,0.01805337704718113,1.0343823107618313,0.013620812445878983,0.7804150666881298
4,0.0002427166245511866,0.00024271427595522253,4.699556667121994e-08,0.00020097881671972572,0.000200976655469276,4.3204766152863765e-08,0.0127715477719903,0.7317557851847539,0.011076257564127445,0.6346228112243564
5,0.00015252526624993023,0.0001525236144828211,3.303652016078169e-08,0.00015241851224952066,0.00015241633440988758,4.356882115530425e-08,0.01204531267285347,0.6901455790699487,0.009791647084057331,0.5610200523980643
6,0.0001462902604336185,0.00014628853748685548,3.444546810068719e-08,0.00012805108116784443,0.00012804967176634818,2.8189222499956184e-08,0.010572622530162334,0.6057666493632277,0.008200101554393768,0.469831210645429
7,0.00010130531270988286,0.00010130423503661794,2.156460552730063e-08,7.92600805289112e-05,7.925917190732435e-05,1.8157466830833377e-08,0.008238911628723145,0.47205486410709124,0.00652824342250824,0.37404079574376203
8,6.540851326592799e-05,6.540781477399703e-05,1.3978636417277812e-08,5.514614187025775e-05,5.514559932635166e-05,1.0847887335074802e-08,0.006185441743582487,0.3543997063313177,0.004867089446634054,0.27886368380479465
