model_name,sample_index,channel,center_y,center_x,mean_radius_px,top_fraction,top_energy_ratio,plane_1_energy_ratio,plane_2_energy_ratio,figure_path
dual_plane_fusion_cnn,0,1,60.701492890052954,63.72086806357725,56.386629579497985,0.1,0.45070984161237515,0.9452254976571449,0.054774508059030794,result\figures\cycle43_attribution_cycle42_64\dual_plane_fusion_cnn_sample0.png
dual_plane_fusion_cnn,0,2,78.0590452370356,75.31934564776996,26.427646815320102,0.1,0.7575755215718698,0.0941523976069857,0.905847614739338,result\figures\cycle43_attribution_cycle42_64\dual_plane_fusion_cnn_sample0.png
dual_plane_fusion_cnn,0,3,70.48850512863207,72.4588847775543,36.7318993075184,0.1,0.6068762253654586,0.3826760090953067,0.6173240244202103,result\figures\cycle43_attribution_cycle42_64\dual_plane_fusion_cnn_sample0.png
dual_plane_fusion_cnn,0,4,59.752207742359545,63.76629969634488,57.30077004769839,0.1,0.4501353434647809,0.9577468345422006,0.042253201327822155,result\figures\cycle43_attribution_cycle42_64\dual_plane_fusion_cnn_sample0.png
dual_plane_fusion_cnn,0,5,68.50147805676178,69.82104316682738,40.14908499043448,0.1,0.551773780216199,0.4168815394072449,0.5831184605927542,result\figures\cycle43_attribution_cycle42_64\dual_plane_fusion_cnn_sample0.png
dual_plane_fusion_cnn,0,6,73.24251141658972,72.49092417914521,33.46995409766734,0.1,0.6526687429421784,0.3219585512500015,0.6780414090855129,result\figures\cycle43_attribution_cycle42_64\dual_plane_fusion_cnn_sample0.png
dual_plane_fusion_cnn,1,1,66.17905537616689,67.00772596332706,53.04611654020793,0.1,0.479982966652752,0.9660807954754188,0.03391924026150853,result\figures\cycle43_attribution_cycle42_64\dual_plane_fusion_cnn_sample1.png
dual_plane_fusion_cnn,1,2,71.1591244005116,73.67935101077498,38.386973988423634,0.1,0.5463422400673976,0.41143296426078024,0.5885670357392185,result\figures\cycle43_attribution_cycle42_64\dual_plane_fusion_cnn_sample1.png
dual_plane_fusion_cnn,1,3,80.92273585308737,79.28153253389077,27.81801704294819,0.1,0.7000930101589788,0.38649909336429195,0.6135009483392769,result\figures\cycle43_attribution_cycle42_64\dual_plane_fusion_cnn_sample1.png
dual_plane_fusion_cnn,1,4,65.79327788410033,66.48239083998511,53.162836276346354,0.1,0.4786103634642249,0.9519306064013644,0.048069424496115634,result\figures\cycle43_attribution_cycle42_64\dual_plane_fusion_cnn_sample1.png
dual_plane_fusion_cnn,1,5,68.40944833358992,70.30588067638021,45.958898494039296,0.1,0.4643483552834474,0.6256102133496867,0.37438978665031264,result\figures\cycle43_attribution_cycle42_64\dual_plane_fusion_cnn_sample1.png
dual_plane_fusion_cnn,1,6,75.23627810571695,79.12229033438165,29.66503778739696,0.1,0.7018404300426129,0.2726025528828202,0.7273974117265273,result\figures\cycle43_attribution_cycle42_64\dual_plane_fusion_cnn_sample1.png
