epoch,lambda_comp_active,train_total,train_phase,train_farfield,train_comp,train_unit,val_total,val_rmse_rad,val_mae_rad,val_unit,val_strehl_ratio,val_main_lobe_ratio,val_synthesis_efficiency
1,0.5,0.013937251431601388,0.4581409692083086,0.0002275232051698757,-0.8884301896776472,0.8002962834494455,-0.06391619435946147,1.3497642278671265,1.0805720090866089,0.7799643335342408,0.5007538795471191,0.46015942096710205,0.6905326247215271
2,0.5,-0.08845812552315849,0.3996910466466631,0.00017867188509886287,-0.976316213130951,0.6601499782289777,-0.14270221288998922,1.211634635925293,0.9551606178283691,0.5699157595634461,0.5370367765426636,0.48444560170173645,0.7288829684257507
3,0.5,-0.15067732051440647,0.3640135006223406,0.0001646009314738746,-1.0293981038502285,0.5695857628413609,-0.15880527337392172,1.1938868761062622,0.9380086660385132,0.5847443277041118,0.5477113723754883,0.48680219054222107,0.7329117655754089
4,0.5,-0.17267529559135436,0.35078628315244403,0.00016018681422740754,-1.0469391765594482,0.5392860018866403,-0.21297647643089296,1.1161495447158813,0.8768711090087891,0.49367136279741924,0.5772223472595215,0.5003278851509094,0.7546349167823792
5,0.5,-0.20771981467519487,0.33106798434257506,0.00014492353384516069,-1.0775900892530168,0.5107636303220476,-0.2561599994500478,1.05419921875,0.8328297734260559,0.47516674812634785,0.6037585139274597,0.5083167552947998,0.7677810788154602
6,0.5,-0.2345262054715838,0.3135796410696847,0.00013576072358825644,-1.0962252697263446,0.47177709582873756,-0.27456522528330485,1.0293033123016357,0.8206049203872681,0.42332888261477153,0.6171090602874756,0.5124955773353577,0.7745966911315918
7,0.5,-0.24466386907441276,0.30890458839280266,0.00012902275767243866,-1.107149819782802,0.4589713661330087,-0.280704030195872,1.022336483001709,0.8160651922225952,0.4414585002263387,0.6238682270050049,0.5143021941184998,0.7775794267654419
8,0.5,-0.25594472864695955,0.3023836001668658,0.00012390325837934922,-1.116669047491891,0.4518639254910605,-0.28047893675168356,1.020753026008606,0.8153403997421265,0.4430092544555664,0.6199281215667725,0.5126493573188782,0.7749221920967102
9,0.5,-0.26155081408364433,0.2980870129721505,0.00012305333205897892,-1.1192879612786428,0.4437302910940988,-0.2819556224346161,1.020758867263794,0.8155192136764526,0.39829808529218036,0.622630774974823,0.5131263136863708,0.7757471799850464
10,0.5,-0.2705822166715349,0.29351294156483243,0.00011920479084697685,-1.128202237537929,0.4369787166799818,-0.2994030374685923,0.9995275139808655,0.8098223805427551,0.4088688805103302,0.6394264101982117,0.516209065914154,0.780860424041748
11,0.5,-0.27708723827770776,0.2916419083050319,0.00011556703633894878,-1.1374698508126395,0.4335828548158918,-0.29699155807495115,1.010040283203125,0.8112579584121704,0.42918393429120383,0.6355023384094238,0.516025722026825,0.7805167436599731
12,0.5,-0.2744128739493234,0.2921348351751055,0.00011661105809201087,-1.1331070810045514,0.4398234816619328,-0.3039003039201101,0.9972701072692871,0.8072646856307983,0.41759395464261373,0.6423017978668213,0.5166119337081909,0.7815526723861694
13,0.5,-0.27561775425502233,0.2923697848660605,0.00011624029812602593,-1.1359867027827673,0.4377010749748775,-0.30324659689267475,0.9988609552383423,0.8078307509422302,0.4393629461924235,0.6431561708450317,0.5171418786048889,0.7823610305786133
14,0.5,-0.2842570936339242,0.28833413100242616,0.00011199364516817565,-1.1451936487470353,0.434307511636189,-0.3102592242558797,0.9966357946395874,0.8075175881385803,0.4131336835225423,0.648240327835083,0.5170884728431702,0.7823757529258728
15,0.5,-0.28601929923466274,0.2867652270964214,0.00011113548495840015,-1.1455801669529506,0.43424011966160364,-0.307804398616155,0.99534672498703,0.8076299428939819,0.4342616341114044,0.6471094489097595,0.5172036290168762,0.7825292348861694
16,0.5,-0.28548234919139315,0.28726799576623097,0.00011096528092665331,-1.1455117863246373,0.4290326061248779,-0.29305977749824524,1.0097901821136475,0.8129097819328308,0.42397763538360594,0.637417197227478,0.516391932964325,0.7810556888580322
17,0.5,-0.2905173657281058,0.2856196889536721,0.00010822188925729799,-1.152284930229187,0.43262227150372096,-0.3036096013387044,1.0097416639328003,0.8110596537590027,0.41902208813031516,0.6448293328285217,0.5173180103302002,0.782688558101654
18,0.5,-0.29360769966670447,0.28470560887881685,0.00010681771477019148,-1.1566372992651803,0.4317572005816868,-0.31061146640777587,0.9984456896781921,0.8075054883956909,0.3925444862047831,0.6503831148147583,0.5187065601348877,0.7849069833755493
19,0.5,-0.2913058020387377,0.2861153448309217,0.00010981911953006472,-1.154853275162833,0.43229249708993095,-0.30399629624684654,1.003899335861206,0.8107537031173706,0.41962992564837137,0.6452280879020691,0.5172128677368164,0.7825093865394592
20,0.5,-0.29434733714376177,0.28452996151787896,0.00010626960490896765,-1.1577652224131993,0.4306488423347473,-0.31617275714874266,0.9938361048698425,0.8072968125343323,0.41252477383613584,0.6553440690040588,0.518127977848053,0.7841590046882629
21,0.5,-0.297650641475405,0.2832772389139448,0.000104337989385905,-1.1618661937713624,0.4304578354358673,-0.31697630151112877,0.9931520223617554,0.8061143755912781,0.4120696736176809,0.657232940196991,0.5184041857719421,0.7846080660820007
22,0.5,-0.3026912865298135,0.2804399516923087,0.0001033005070307159,-1.166272808619908,0.42731151216370716,-0.3188324805100759,0.9930040240287781,0.8067406415939331,0.4089958733717601,0.6584169268608093,0.5184913873672485,0.7847844362258911
23,0.5,-0.30464822857720514,0.27950692534446714,0.00010278649121755734,-1.168320585523333,0.4256736785684313,-0.30154622077941895,1.0048218965530396,0.8110034465789795,0.4393160851796468,0.6457928419113159,0.5171956419944763,0.7825192809104919
24,0.5,-0.3029884412629264,0.27995797324180605,0.00010374031240852283,-1.165903203691755,0.42979077809197563,-0.3213468062877655,0.9901251792907715,0.8055519461631775,0.41067304571469626,0.6594105362892151,0.5184230804443359,0.7846875786781311
25,0.5,-0.3085434607778277,0.2771348528521402,0.00010092016412610454,-1.171366720199585,0.42578835647446767,-0.32203358769416807,0.9924083948135376,0.8050049543380737,0.39640423345565795,0.6601526141166687,0.5185422897338867,0.7848867774009705
26,0.5,-0.3108741635254451,0.2764891101632799,0.00010064055934448593,-1.174736611366272,0.42735072234698707,-0.32272688555717466,0.9900580048561096,0.8042680025100708,0.4107710591952006,0.661217451095581,0.5185068249702454,0.7848789095878601
27,0.5,-0.3124218429156712,0.27591563040869577,0.00010036351058598873,-1.176684984615871,0.426070212500436,-0.32366448322931923,0.9891437292098999,0.8041064739227295,0.3987957385381063,0.6618332862854004,0.518959105014801,0.785579264163971
28,0.5,-0.312475330557142,0.27574796169144766,0.00010039268721759851,-1.176456621987479,0.4238875628880092,-0.32357628242174785,0.9891052842140198,0.8043562769889832,0.4146616968313853,0.6618395447731018,0.5186210870742798,0.7850624322891235
29,0.5,-0.31245461664881025,0.27567796226910185,9.988779611220317e-05,-1.176275145803179,0.4256273025444576,-0.32379361883799235,0.9894194602966309,0.8043524026870728,0.41131256461143495,0.662112295627594,0.5187134742736816,0.7852122187614441
30,0.5,-0.3146265490395682,0.27488457081999096,9.933507204654493e-05,-1.1790321730204991,0.42600883088793073,-0.32359242661794024,0.9896253347396851,0.8046998381614685,0.407914545694987,0.6616433262825012,0.5185688734054565,0.7849740982055664
