lambda_tag,lambda_phy,epochs,batch_size,rmse_rad,rmse_deg,mae_rad,mae_deg,mean_error_rad,mean_error_deg,phase_loss,farfield_loss,total_loss
0,0.0,8,32,0.004485770128667355,0.2570156962384957,0.003315154928714037,0.1899443858473076,-3.0351306122611277e-05,-0.0017390017435352013,3.025390560651431e-05,5.891359653453776e-09,3.025390560651431e-05
0.01,0.01,8,32,0.0042908675968647,0.24584860374978929,0.0032195744570344687,0.18446802821619865,0.0008146855980157852,0.04667804639639605,2.2487742474671297e-05,4.816133659287421e-09,2.2487790814314698e-05
0.05,0.05,8,32,0.0057914163917303085,0.33182371664903054,0.004384535364806652,0.2512153715292739,-0.0007645271834917367,-0.043804180937100375,4.9977089668876334e-05,8.745971644685824e-09,4.9977526917549163e-05
0.1,0.1,8,32,0.005664516240358353,0.3245528735558462,0.004086148925125599,0.23411908787161465,5.639956725644879e-05,0.003231457170158747,3.985712769159969e-05,8.936667619252603e-09,3.9858021834030904e-05
0.5,0.5,8,32,0.006353036500513554,0.3640021785719887,0.005209628958255053,0.29848975213715023,-0.00012133752170484513,-0.006952127890264647,4.335612053788888e-05,1.1579230762374474e-08,4.3361909629311416e-05
1.0,1.0,8,32,0.005304069258272648,0.30390078274410776,0.004195666406303644,0.24039397732602008,0.00022149075812194496,0.012690485641540407,4.2501821953919714e-05,7.629884741788828e-09,4.250945164433991e-05
