epoch,train_total_loss,train_phase_loss,train_farfield_loss,val_total_loss,val_phase_loss,val_farfield_loss,val_rmse_rad,val_rmse_deg,val_mae_rad,val_mae_deg
1,0.5253855406239046,0.525368411947229,0.0003425720331191434,0.49956514126335094,0.49955150913568885,0.0002727351631524857,1.7607007026672363,100.88071924855109,1.531000018119812,87.7198394727178
2,0.49152329480847834,0.49151015947650933,0.00026276276424766503,0.49831034272324803,0.49829626823562423,0.000281319177399079,1.7443630695343018,99.94464182280085,1.495958685874939,85.71211902657089
3,0.45243306516269066,0.4524224638605917,0.0002120466109894622,0.46236250622599734,0.462353656689326,0.00017700924222689316,1.4256399869918823,81.68315435972045,1.1553583145141602,66.19715524700975
4,0.3920657033693857,0.39205703189253144,0.00017342543157595393,0.37340618738161974,0.37339914429421517,0.0001408641750268407,1.2452902793884277,71.34987727762405,0.9829486012458801,56.318806329676626
5,0.3323059937807435,0.3322986480910019,0.00014691736911554877,0.3114101386148166,0.3114040904964497,0.0001209854615606471,1.060614824295044,60.76875312111539,0.8358319401741028,47.88964255420721
6,0.2819793792077283,0.2819736308558693,0.00011502185656120689,0.2822807203320896,0.2822759137823691,9.609845142965235e-05,0.9994479417800903,57.264148907035995,0.7915264964103699,45.3511276170911
7,0.2681581884123094,0.26815257059129255,0.00011234504130718366,0.27066533238280055,0.2706596381913603,0.00011399249104726634,0.9723687171936035,55.712623625743404,0.7766713500022888,44.49999042385913
8,0.2573581087356173,0.2573526221114164,0.00010969700396949343,0.26868371889482134,0.2686787107411553,0.00010024641080853815,0.9610186219215393,55.06231106958274,0.7773570418357849,44.539277671965046
9,0.25586921692560505,0.2558637937353976,0.00010848616564635958,0.2628309362464481,0.26282597503630944,9.920414952063641e-05,0.9536199569702148,54.63839879384048,0.7752587199211121,44.419052682194476
10,0.2536516832239801,0.2536462448828713,0.00010874863699671693,0.26174089741083534,0.2617356046742084,0.00010583587363666666,0.9898936152458191,56.716726320532395,0.7803295254707336,44.70958843891931
11,0.25220264419497057,0.25219712593701965,0.00011031321152672692,0.2641588558558545,0.2641533005471323,0.00011107120952063722,0.9536787867546082,54.641769492195884,0.7705557942390442,44.149594889248306
12,0.25084813655088734,0.250842694047443,0.00010881879291817151,0.27053282307643517,0.27052722277204977,0.00011194822087608509,0.9787641167640686,56.07905302943084,0.7800204753875732,44.69188117349605
13,0.24984265289493113,0.24983715245177626,0.00011002620670413755,0.2653987051225176,0.26539312585506564,0.00011158996499242456,0.9676157236099243,55.44029715334583,0.7678034901618958,43.99189948169105
14,0.24710588656657234,0.24710053996333864,0.00010691196272782488,0.2679536262758417,0.26794815375134834,0.00010955369675773945,0.9768972992897034,55.97209226702844,0.7719807028770447,44.23123614039747
15,0.24621136361660237,0.24620608810605948,0.00010547662865501886,0.2865055497565301,0.28650042823716704,0.00010243333925400233,1.0179003477096558,58.321393888662264,0.795471727848053,45.57717272767267
16,0.24880700928871857,0.24880146663948144,0.00011084117127033523,0.27044220044721967,0.27043722560203154,9.950377160053263e-05,0.9874098300933838,56.574415914080596,0.7845126390457153,44.949263191989644
17,0.24271996935319634,0.24271459769270273,0.00010747407063387865,0.319895859832078,0.319890642477796,0.00010431058344574268,0.9893997311592102,56.68842884680103,0.7851613163948059,44.98642966635827
18,0.24316961155923386,0.24316433521622385,0.0001055638096669257,0.2743753042875552,0.2743705522780325,9.513204394964489e-05,0.9824638962745667,56.29103478051135,0.7778535485267639,44.56772540985815
19,0.24094313141686957,0.24093771904873448,0.00010826048019632187,0.27440083104800556,0.27439573134472167,0.00010201667388482628,0.9902722835540771,56.73842241643094,0.7766498923301697,44.49876098980853
20,0.2370429709969952,0.23703771713059707,0.00010512357752629707,0.2725154747760374,0.27251022839857864,0.00010492147389324564,0.9834263920783997,56.34618172787003,0.7728185653686523,44.2792421249789
21,0.23475597199447995,0.2347508290127003,0.00010285351736608934,0.28625235487433043,0.28624684592477634,0.0001102592552604239,1.0400173664093018,59.5886057155639,0.7978970408439636,45.71613292633658
22,0.2317500633900392,0.2317450293782037,0.00010067410218332993,0.28435030735396094,0.28434530504388744,0.00010008195714166789,1.0298141241073608,59.00400299431334,0.7912212014198303,45.3336355026267
23,0.2283606151295774,0.2283556211594097,9.990402362969516e-05,0.30236732258516197,0.30236241922659035,9.813531662574878e-05,1.0801695585250854,61.88915686199677,0.8256731033325195,47.30758407842248
24,0.22012309330468738,0.2201183512390659,9.486061261866669e-05,0.3286782477805817,0.3286725748208613,0.00011347644950766908,1.108828067779541,63.53116848941368,0.8498915433883667,48.6951984800131
25,0.215235635638237,0.21523081582018783,9.639521715408139e-05,0.3046215349942251,0.30461642905777575,0.00010204644967136856,1.076985239982605,61.70670884888739,0.824203610420227,47.223388336523726
26,0.2070522542272866,0.20704779636593504,8.916250205996795e-05,0.31364956965633467,0.3136444915743435,0.00010150335921245487,1.0704240798950195,61.330782067159056,0.8158151507377625,46.74276500010286
27,0.20023568365826952,0.20023135000101014,8.667682466785262e-05,0.3445406178243799,0.34453536462939643,0.00010513041799604966,1.1762405633926392,67.39361997448839,0.886823296546936,50.811232066018064
28,0.19290636579750636,0.19290228695842807,8.15806474976304e-05,0.374068165721457,0.37406331047513125,9.696848837550717e-05,1.1789531707763672,67.54904092905203,0.9052226543426514,51.86543761346368
29,0.1802920346153515,0.1802882239971747,7.621120259409e-05,0.3367742627274756,0.33676983036246955,8.871549890898594e-05,1.152449131011963,66.03047131050475,0.8735408782958984,50.05020555850608
30,0.17419984545454634,0.1741961046803597,7.483654234567449e-05,0.3642163621444328,0.3642117275911219,9.274162632471036e-05,1.130108118057251,64.75042555815266,0.8546378016471863,48.96713904672257
31,0.16325936071033584,0.16325591071690926,6.900517237938513e-05,0.3622751198952494,0.3622700439559089,0.000101563418152806,1.1537432670593262,66.1046198441344,0.8735833168029785,50.0526371058506
32,0.15324777847561757,0.15324473106328335,6.097351267053251e-05,0.38023538644017735,0.3802303449780333,0.00010071274376659976,1.1882463693618774,68.08150198617871,0.8899945616722107,50.99293217341333
33,0.14245293118767233,0.14245010512834155,5.650907369069079e-05,0.3461698554699717,0.34616534577475655,9.008641230144836e-05,1.1493375301361084,65.85218971278907,0.870673418045044,49.88591218821059
34,0.12393100168451916,0.12392852326345177,4.954467741863583e-05,0.4278942317354913,0.42788830496906455,0.00011849626777024051,1.2175263166427612,69.7591193897389,0.9337164759635925,53.49801333454223
35,0.11815998257871446,0.11815759489656161,4.773979113787132e-05,0.4720456066474416,0.4720384556483599,0.00014305334104327,1.3248906135559082,75.91064047325168,1.0308071374893188,59.060898470099545
36,0.11034389464548847,0.11034167170857584,4.4465587418230494e-05,0.4385174736867543,0.43851209446495654,0.00010759630551511495,1.2256855964660645,70.22661168748043,0.9318110942840576,53.38884300594333
37,0.09680800531163562,0.09680608868099458,3.832938121849614e-05,0.36616014655119455,0.3661559378009996,8.421406143016237e-05,1.1776117086410522,67.47218081032187,0.886971652507782,50.819732236440146
38,0.08261242954258147,0.08261084768858702,3.1657855105443267e-05,0.42079150287154454,0.4207868182581235,9.364513457780156e-05,1.2098013162612915,69.31650947114373,0.926207423210144,53.06777630362854
39,0.07762298595638914,0.07762147914930428,3.0135530852026557e-05,0.4311613177551943,0.43115676540175296,9.10377810903965e-05,1.1912038326263428,68.25095214929756,0.8937280774116516,51.20684686802896
40,0.07402609251231454,0.07402472880632517,2.7271488146673023e-05,0.43328163378378926,0.4332762709240508,0.00010731832688869117,1.251524806022644,71.70708934102653,0.9443234205245972,54.10574649141704
