method,epochs,lambda_phy,rmse_rad,rmse_deg,mae_rad,mae_deg,phase_loss,farfield_loss,total_loss
baseline_cnn_supervised,20,0,0.0037421337,0.2144084693,0.0030820819,0.1765902855,1.7800666016e-05,,1.7800666016e-05
physics_constrained_cnn,10,0.1,0.0057821637,0.3312935766,0.0043467321,0.2490494011,3.9130254554e-05,9.3537719910e-09,3.9131189624e-05
