epoch,train_loss,val_loss,val_rmse_rad,val_rmse_deg,val_mae_rad,val_mae_deg
1,0.4941167662824903,0.34179135322570803,0.4119701683521271,23.604151931870877,0.3553243577480316,20.358586057158803
2,0.07451410870200821,0.0029822782427072524,0.05836562439799309,3.3441039466507902,0.05041094124317169,2.8883341745157134
3,0.001478270146430337,0.0004092916737621029,0.01568179950118065,0.8985009265880108,0.0123285548761487,0.7063741618987519
4,0.00025380920943072333,0.00016976944384320327,0.01161656342446804,0.6655800566680574,0.009187576361000538,0.526409349439494
5,0.00012193854494918404,0.00011904489093770583,0.010017146356403828,0.5739402089867897,0.00729956291615963,0.4182341473861544
6,8.471622601583866e-05,6.805960738953824e-05,0.007442427799105644,0.4264197022195915,0.005909390281885862,0.33858312264768375
7,6.71230473173117e-05,4.42615451659852e-05,0.006035134196281433,0.34578771824200427,0.00497023481875658,0.2847734783037217
8,3.931426312192343e-05,3.214734097127803e-05,0.004813949577510357,0.27581899358012923,0.0036002143751829863,0.20627708904031383
9,3.587013885927653e-05,4.1008934252507365e-05,0.005623398348689079,0.3221969919007207,0.004323095548897982,0.24769512938364635
10,3.953358075315399e-05,4.989387870106536e-05,0.007093159947544336,0.40640812840552687,0.0058956085704267025,0.3377934887466068
11,3.553589360048396e-05,2.851481239000956e-05,0.004668993875384331,0.2675136436319524,0.003357083071023226,0.19234669144444802
12,2.768670973767127e-05,1.9378951086158244e-05,0.003886166261509061,0.22266092527060258,0.0027552659157663584,0.15786510840966012
13,2.7867499583018278e-05,2.075475525392297e-05,0.004035545978695154,0.23121975261022357,0.003018306102603674,0.17293620095777093
14,2.9455394978867845e-05,6.106323101751817e-05,0.008489323779940605,0.4864024235106435,0.0074732000939548016,0.4281828248403804
15,3.285721485424022e-05,3.683357189098994e-05,0.005495721008628607,0.31488161917579904,0.004359427839517593,0.24977681629619286
16,2.7057165706147705e-05,3.403463386348449e-05,0.005265874322503805,0.3017123741257798,0.004325513262301683,0.2478336541577507
17,1.551118127411298e-05,1.367926499369787e-05,0.003186928341165185,0.18259754355939364,0.0022878011222928762,0.13108134867267493
18,2.323261127457954e-05,2.6683111888511726e-05,0.005096745677292347,0.2920220165603977,0.004104167688637972,0.23515148697291793
19,2.4251113635338178e-05,1.9956975811510348e-05,0.003382275812327862,0.19379012919556857,0.0026051823515444994,0.14926595360546696
20,1.79454138456744e-05,1.8203470099251717e-05,0.003711335128173232,0.2126438392029706,0.0030246234964579344,0.17329816096314193
