state,samples,main_lobe_ratio_mean,main_lobe_ratio_std,main_lobe_ratio_min,main_lobe_ratio_max,relative_gain_vs_before_percent
before,256,0.35938811528651615,0.0805245777959598,0.18612445834135918,0.6014889749089729,0.0
baseline_compensated,256,0.5193067600124359,0.07329965191275163,0.2785711068321502,0.6365497596561472,44.49747721858507
physics_compensated,256,0.5215464748130259,0.07316484222433185,0.3006293323763728,0.6322946948180157,45.12067946298994
ideal,256,0.6506310255737306,2.220446049250313e-16,0.6506310255737309,0.6506310255737309,81.0385479928923
